Time,Source IP,Destination IP,Destination Port,Protocol,Size
2026-07-11 18:45:28,104.116.97.154,192.168.100.63,52721,TCP,89
2026-07-11 18:45:28,192.168.100.63,104.116.97.154,443,TCP,54
2026-07-11 18:45:28,104.116.97.154,192.168.100.63,52721,TCP,58
2026-07-11 18:45:28,166.108.200.175,192.168.100.63,52669,TCP,54
2026-07-11 18:45:28,166.108.200.175,192.168.100.63,52670,TCP,54
2026-07-11 18:45:28,192.168.100.63,166.108.200.175,443,TCP,54
2026-07-11 18:45:28,192.168.100.63,166.108.200.175,443,TCP,54
2026-07-11 18:45:28,72.145.35.105,192.168.100.63,52720,TCP,54
2026-07-11 18:45:28,192.168.100.63,72.145.35.105,443,TCP,54
2026-07-11 18:45:28,20.18.192.154,192.168.100.63,52592,TCP,54
2026-07-11 18:45:28,166.108.200.175,192.168.100.63,52671,TCP,54
2026-07-11 18:45:28,166.108.200.175,192.168.100.63,52676,TCP,54
2026-07-11 18:45:28,192.168.100.63,20.18.192.154,443,TCP,54
2026-07-11 18:45:28,192.168.100.63,166.108.200.175,443,TCP,54
2026-07-11 18:45:28,192.168.100.63,166.108.200.175,443,TCP,54
2026-07-11 18:45:29,166.108.200.175,192.168.100.63,52678,TCP,54
2026-07-11 18:45:29,192.168.100.63,166.108.200.175,443,TCP,54
